,S_INFO_WINDCODE,TITLE,URL
0,600102.SH,莱钢股份和济南钢铁换股过会 明起双双复牌,"news,600102,45663295"
1,600102.SH,莱钢股份6.88亿限售股18日解禁上市,"news,600102,47792148"
2,600102.SH,莱钢股份28日起终止上市,"news,600102,48739078"
3,600102.SH,莱钢股份资产重组实施 28日起终止上市,"news,600102,48740016"
4,600102.SH,莱钢股份28日退市 山东钢铁即将登场,"news,600102,48767335"
5,600102.SH,莱钢股份今日告别A股 山钢整合下一步欲吞日钢,"news,600102,48878709"
6,600102.SH,莱钢股份整体上市启动 后市波段操作,"news,600102,60830770"
7,601799.SH,11日起停牌 筹划股权激励计划事宜,"news,601799,40807215"
8,601799.SH,远低于市价推股票激励,"news,601799,40977197"
9,601799.SH,股权激励授予价远低市价,"news,601799,40985532"
10,601799.SH,推出股权激励方案,"news,601799,41010420"
11,601799.SH,江苏省女首富践诺 股权激励秘史,"news,601799,41130185"
12,601799.SH,易方达系减持 3基金新进前十大,"news,601799,48878916"
13,601799.SH,易方达系减持 3基新进前十流通股东,"news,601799,48917007"
14,601799.SH,拟10派5.8元 18日股权登记,"news,601799,50653589"
15,601799.SH,募投项目进展成谜 董秘称环保局数据不实,"news,601799,57466606"
16,601799.SH,募资补流动资金 又拟委托理财打擦边球,"news,601799,62669029"
17,601799.SH,886万股12日解禁 占总股本7.3%,"news,601799,64160753"
18,601799.SH,中期营收增19% 净利增18%,"news,601799,84276498"
19,601799.SH,中期盈利9639万 同比增17.83%,"news,601799,84266339"
20,601799.SH,客户合作不断深化 驶入快车道,"news,601799,85030662"
21,601799.SH,策划重大资产购买 19日起停牌,"news,601799,85167336"
22,601799.SH,IPO项目营收难达预期 推10亿扩产引质疑,"news,601799,85440878"
23,601799.SH,超募资金买地 每平方米336元还是937元,"news,601799,86118189"
24,601799.SH,拟建年产100万套车灯项目 为一汽配套,"news,601799,86825279"
25,601799.SH,拟5亿元建车灯项目,"news,601799,86846512"
26,601799.SH,拟5亿元建车灯项目 媒体质疑未及时披露,"news,601799,86883649"
27,601799.SH,终止重大资产重组 10月8日起复牌,"news,601799,88538912"
28,601799.SH,终止资产重组,"news,601799,88673705"
29,601799.SH,收购海外汽车流产 被收购方信息成谜,"news,601799,88629002"
30,601799.SH,前三季净利1.36亿 同比增13%,"news,601799,89647843"
31,601799.SH,：毛利率小幅回落 四季度有望恢复,"news,601799,89836634"
32,601799.SH,“觊觎”宝马奔驰,"news,601799,95922457"
33,601799.SH,大非解禁引机构抢筹,"news,601799,99271961"
34,601799.SH,公布2013年度利润分配方案,"news,601799,112559219"
35,601799.SH,[中报]中期净利1.12亿 同比增15.72%,"news,601799,116136463"
36,601799.SH,控股奥地利公司 开拓LED车灯国际市场,"news,601799,121485842"
37,601799.SH,并购海外破产重组公司 完善汽车电子产业链,"news,601799,121491603"
38,601799.SH,子公司收购neue I#@$T公司70%股权完成,"news,601799,125014304"
39,601799.SH,获得专项资金2933万元,"news,601799,126912509"
40,601799.SH,(601799)解禁股信息(12-19),"news,601799,136621236"
41,601799.SH,(601799)解禁股信息(12-22),"news,601799,137199561"
42,601799.SH,推员工持股计划,"news,601799,145106772"
43,601799.SH,推出员工持股计划,"news,601799,145107316"
44,601799.SH,(601799)高管持股数据一览(3-5),"news,601799,150551415"
45,601799.SH,2014年度净利同比增25% 拟10股派7.8元,"news,601799,159645599"
46,601799.SH,遭国投创新减持1.79%股份,"news,601799,164833005"
47,601799.SH,遭减持1.79%股份,"news,601799,165077145"
48,601799.SH,第1期员工持股共购42.1万股,"news,601799,181606911"
49,601799.SH,销售生产形势良好 中期净利增逾两成,"news,601799,190344585"
50,601799.SH,：业绩增长锁定 加码汽车电子 予买入,"news,601799,195315267"
51,601799.SH,终止筹划收购传感器企业事宜,"news,601799,198980212"
52,601799.SH,回购注销2900股激励股份,"news,601799,204018240"
53,601799.SH,拟筹划定增事项 11月2日停牌,"news,601799,209756345"
54,601799.SH,拟定增募资15亿元 提升汽车灯具研发产能,"news,601799,214073819"
55,601799.SH,拟定增募资15亿元加码主业,"news,601799,214037584"
56,601799.SH,：增发加码主业  新业务有看点,"news,601799,224798607"
57,601799.SH,(601799)解禁股信息(12-21),"news,601799,233410477"
58,601799.SH,拟实施第二期员工持股计划,"news,601799,245471799"
59,601799.SH,拟实施第二期员工持股计划 总金额1348万元,"news,601799,245487569"
60,601799.SH,年报拟10派7.2元 净利增长7.6%,"news,601799,270019133"
61,601799.SH,年报拟10派7.2元,"news,601799,270498011"
62,601799.SH,无人驾驶概念呈普涨态势 涨6.83%,"news,601799,297900444"
63,601799.SH,无人驾驶概念股再度走强 涨7.08%,"news,601799,316200820"
